password_label,hash_algorithm,number_of_workers,controller_side_parsing_time_ms,job_dispatch_registration_overhead_ms,work_assignment_overhead_total_ms,work_assignment_overhead_per_unit_ns,worker_cracking_time_ms,result_return_latency_ms,checkpoint_overhead_ms,checkpoint_impact_pct,total_end_to_end_runtime_ms,controller_overhead_ms,networking_overhead_ms,combined_overhead_ms,heartbeat_observation_count,heartbeat_avg_interval_metric_ms,checkpoint_observation_count,checkpoint_avg_ms,checkpoint_min_ms,checkpoint_max_ms,run_label,serial_fraction_estimate,predicted_runtime_5_workers_ms,measured_runtime_5_workers_ms,prediction_error_pct
Ace,bcrypt,1,0.032729,133.293429,48.242597,5360.29,11398.773783999999,0.317582,493.275996,3.09,15984.453238,48.275326,133.611011,675.162333,,,85,5.803247,4.97496,17.706318,Ace - 1 workers,0.06739445701610043,4058.7014849394063,5237.835341,29.051997552320536
Ace,bcrypt,2,0.5479729999999999,145.981998,35.323028,4415.38,9869.248023,0.333367,499.801391,7.88,6340.247632,35.871001,146.315365,681.987757,,,82,6.095138,5.044744,18.005221,Ace - 2 workers,0.06739445701610043,4058.7014849394063,5237.835341,29.051997552320536
Ace,bcrypt,3,0.985459,150.511133,33.677799,4209.72,9911.205317,0.285569,529.268695,3.88,13645.110187,34.663258,150.796702,714.728655,,,84,6.300817,4.954392,18.488848,Ace - 3 workers,0.06739445701610043,4058.7014849394063,5237.835341,29.051997552320536
Ace,bcrypt,5,2.32254,165.739977,26.87676,3359.59,10118.066571,0.34519299999999997,537.670143,10.27,5237.835341,29.1993,166.08517,732.954613,,,89,6.041237,5.05604,16.212445,Ace - 5 workers,0.06739445701610043,4058.7014849394063,5237.835341,29.051997552320536
Bad,bcrypt,1,0.598565,214.532446,81.795756,5453.05,19347.603472,0.360437,861.781524,3.9,22122.574053,82.394321,214.892883,1159.068728,,,146,5.902613,2.841464,22.586794,Bad - 1 workers,0.0701181092403601,5665.4692619009675,5927.112001,4.618200664480217
Bad,bcrypt,2,0.5119049999999999,246.146835,78.68278,5245.52,19509.856707000003,0.430681,942.955194,6.86,13742.855529,79.194685,246.577516,1268.727395,,,151,6.244736,5.009305,24.770662,Bad - 2 workers,0.0701181092403601,5665.4692619009675,5927.112001,4.618200664480217
Bad,bcrypt,3,2.967175,230.529303,68.352382,5257.88,16658.127372,0.364935,886.76814,4.9,18113.060535,71.319557,230.894238,1188.981935,,,141,6.289135,4.947735,20.443034,Bad - 3 workers,0.0701181092403601,5665.4692619009675,5927.112001,4.618200664480217
Bad,bcrypt,5,0.6016090000000001,264.206143,54.897584,4222.89,16639.945306,0.322377,946.18744,15.96,5927.112001,55.499193,264.52852,1266.215153,,,145,6.52543,4.884339,26.465023,Bad - 5 workers,0.0701181092403601,5665.4692619009675,5927.112001,4.618200664480217
Cab,bcrypt,1,0.6163609999999999,366.700523,160.549854,7645.23,27368.996964,0.343472,1285.117262,4.32,29739.544795,161.166215,367.043995,1813.3274720000002,,,208,6.178448,4.836577,66.857124,Cab - 1 workers,0.10682878229551823,8489.540444178294,8718.654395,2.6987791898538003
Cab,bcrypt,2,2.393922,345.615585,111.23026,5296.68,27292.197581,0.306741,1341.818618,8.35,16064.055634999999,113.624182,345.922326,1801.3651260000001,,,215,6.241016,4.845168,34.203622,Cab - 2 workers,0.10682878229551823,8489.540444178294,8718.654395,2.6987791898538003
